,id,date_of_receipt,receipt_number,remarks,units,brand,category,brand_model,status,img,file_exists,file_name,file_size_MB,processed_data,m_receipt_date,m_receipt_number,m_brand_model,m_brand,receipt_type
159,651612,6/7/24,oreo224601089,Approved,1,Oakley,Optical,5153,1,Receipt/2024/jpeg_20240709_065423.jpg,Yes,jpeg_20240709_065423.jpg,0.795786,"{'m_receipt_date': ['Jun 07, 2024'], 'm_receipt_number': ['OR-EO224601089', 'OR-EO224601089'], 'm_brand_model': ['1) OX5153 0454', 'OX5153'], 'm_brand': ['OAKLEY RX FRAME.', 'OAKLEY'], 'id': 651612, 'receipt_type': 'Printed'}","['Jun 07, 2024']","['OR-EO224601089', 'OR-EO224601089']","['1) OX5153 0454', 'OX5153']","['OAKLEY RX FRAME.', 'OAKLEY']",Printed
160,651611,6/15/24,oreo224601147,Approved,1,Oakley,Optical,8028,1,Receipt/2024/jpeg_20240709_065242.jpg,Yes,jpeg_20240709_065242.jpg,0.754119,"{'m_receipt_date': ['Jun 15, 2024'], 'm_receipt_number': ['OR-EO224601147', 'OR-EO224601147'], 'm_brand_model': ['OX80280158', 'OX80280158'], 'm_brand': ['OAKLEY RX FRAME', 'OAKLEY'], 'id': 651611, 'receipt_type': 'Printed'}","['Jun 15, 2024']","['OR-EO224601147', 'OR-EO224601147']","['OX80280158', 'OX80280158']","['OAKLEY RX FRAME', 'OAKLEY']",Printed
161,651610,6/15/24,oreo1224601146,Approved,1,Oakley,Optical,5068,1,Receipt/2024/jpeg_20240709_065100.jpg,Yes,jpeg_20240709_065100.jpg,0.808743,"{'m_receipt_date': ['Jun 15, 2024'], 'm_receipt_number': [], 'm_brand_model': ['OX5068-0455', 'OX5068-0455'], 'm_brand': ['OAKLEY RX FRAME', 'OAKLEY'], 'id': 651610, 'receipt_type': 'Printed'}","['Jun 15, 2024']",[],"['OX5068-0455', 'OX5068-0455']","['OAKLEY RX FRAME', 'OAKLEY']",Printed
162,651609,6/17/24,oreo224601159,Approved,1,Oakley,Optical,5151,1,Receipt/2024/jpeg_20240709_065007.jpg,Yes,jpeg_20240709_065007.jpg,0.757862,"{'m_receipt_date': ['Jun 17,2024'], 'm_receipt_number': [], 'm_brand_model': ['OX5151 0155', 'OX5151'], 'm_brand': ['OAKLEY RX FRAME.', 'OAKLEY'], 'id': 651609, 'receipt_type': 'Printed'}","['Jun 17,2024']",[],"['OX5151 0155', 'OX5151']","['OAKLEY RX FRAME.', 'OAKLEY']",Printed
163,651607,6/18/24,oreo224601164,Approved,1,Oakley,Optical,8174,1,Receipt/2024/jpeg_20240709_064503.jpg,Yes,jpeg_20240709_064503.jpg,0.78646,"{'m_receipt_date': ['Jun 18,2024'], 'm_receipt_number': ['OR-EO224601164', 'OR-EO224601164'], 'm_brand_model': ['OX8174F 0654 HT:18mm / SHORT', 'OX8174F'], 'm_brand': ['OAKLEY RX FRAME.', 'OAKLEY'], 'id': 651607, 'receipt_type': 'Printed'}","['Jun 18,2024']","['OR-EO224601164', 'OR-EO224601164']","['OX8174F 0654 HT:18mm / SHORT', 'OX8174F']","['OAKLEY RX FRAME.', 'OAKLEY']",Printed
164,651569,6/30/24,ornvo24101758,Approved,1,Ray-Ban,Sunglasses,3794,1,Receipt/2024/dylbojhth0.jpg,Yes,dylbojhth0.jpg,4.613537,"{'m_receipt_date': ['Jun 30, 2024'], 'm_receipt_number': ['OR-NVO24101758', 'OR-NVO24101758'], 'm_brand_model': [], 'm_brand': ['F02976 RAYBAN SUNGI ASSES', 'RAYBAN 3/94-M F001/H2', 'RAYBAN', 'RAYBAN'], 'id': 651569, 'receipt_type': 'Printed'}","['Jun 30, 2024']","['OR-NVO24101758', 'OR-NVO24101758']",[],"['F02976 RAYBAN SUNGI ASSES', 'RAYBAN 3/94-M F001/H2', 'RAYBAN', 'RAYBAN']",Printed
165,651568,6/30/24,ornvo24101752,Approved,1,Ray-Ban,Sunglasses,4404,1,Receipt/2024/heyeywrdfa.jpg,Yes,heyeywrdfa.jpg,4.827952,"{'m_receipt_date': ['Jun 30, 2024'], 'm_receipt_number': ['OR-NVO24101752', 'OR-NVO24101752'], 'm_brand_model': ['rayban 4404m F683/71', '4404m'], 'm_brand': ['F02976. RAYBAN SUNGLASSES', 'rayban 4404m F683/71', 'RAYBAN', 'rayban'], 'id': 651568, 'receipt_type': 'Printed'}","['Jun 30, 2024']","['OR-NVO24101752', 'OR-NVO24101752']","['rayban 4404m F683/71', '4404m']","['F02976. RAYBAN SUNGLASSES', 'rayban 4404m F683/71', 'RAYBAN', 'rayban']",Printed
166,651566,6/29/24,ornvo24101750,Approved,1,Ray-Ban,Sunglasses,2727d,1,Receipt/2024/kpqcykzb3h.jpg,Yes,kpqcykzb3h.jpg,4.673082,"{'m_receipt_date': ['Jun 29, 2024'], 'm_receipt_number': ['OR-NVO24101750', 'OR-NVO24101750'], 'm_brand_model': ['rayban 2727d 9202/18 sz57 +15 tinted', '2727d'], 'm_brand': ['RAYBAN RAYBAN SUNGLASSES X 1', 'rayban 2727d 9202/18 sz57 +15 tinted', 'RAYBAN', 'RAYBAN', 'rayban'], 'id': 651566, 'receipt_type': 'Printed'}","['Jun 29, 2024']","['OR-NVO24101750', 'OR-NVO24101750']","['rayban 2727d 9202/18 sz57 +15 tinted', '2727d']","['RAYBAN RAYBAN SUNGLASSES X 1', 'rayban 2727d 9202/18 sz57 +15 tinted', 'RAYBAN', 'RAYBAN', 'rayban']",Printed
167,651565,6/29/24,ornvo24101749,Approved,1,Tiffany & Co.,Optical,2243,1,Receipt/2024/mo4rihcfbf.jpg,Yes,mo4rihcfbf.jpg,4.488252,"{'m_receipt_date': ['Jun 29, 2024'], 'm_receipt_number': ['OR-NVO24101749', 'OR-NVO24101749'], 'm_brand_model': ['tiffany 2243 8055', '2243 8055'], 'm_brand': ['F02989 TIFFany', 'tiffany 2243 8055', 'TIFFany', 'tiffany'], 'id': 651565, 'receipt_type': 'Printed'}","['Jun 29, 2024']","['OR-NVO24101749', 'OR-NVO24101749']","['tiffany 2243 8055', '2243 8055']","['F02989 TIFFany', 'tiffany 2243 8055', 'TIFFany', 'tiffany']",Printed
168,651563,6/28/24,ornvo24101741,Approved,1,Ray-Ban,Optical,6541,1,Receipt/2024/gsrbre2txj.jpg,Yes,gsrbre2txj.jpg,4.527219,"{'m_receipt_date': ['Jun 28, 2024'], 'm_receipt_number': ['OR-NVO24101741', 'OR-NVO24101741'], 'm_brand_model': ['RAYBAN 6541 2500', '6541 2500'], 'm_brand': ['F02977 RAYBAN RX FRAME', 'RAYBAN 6541 2500', 'RAYBAN', 'RAYBAN'], 'id': 651563, 'receipt_type': 'Printed'}","['Jun 28, 2024']","['OR-NVO24101741', 'OR-NVO24101741']","['RAYBAN 6541 2500', '6541 2500']","['F02977 RAYBAN RX FRAME', 'RAYBAN 6541 2500', 'RAYBAN', 'RAYBAN']",Printed
169,651562,6/27/24,ornvo24101734,Approved,1,Ray-Ban,Sunglasses,4401,1,Receipt/2024/x5tg5f7iwi.jpg,Yes,x5tg5f7iwi.jpg,4.474465,"{'m_receipt_date': ['Jun 27, 2024'], 'm_receipt_number': ['OR-NVO24101734', 'OR-NVO24101734'], 'm_brand_model': ['rayban 4401d 601/71 sz57', '4401d'], 'm_brand': ['F02976 RAYBAN SUNGLASSES', 'rayban 4401d 601/71 sz57', 'RAYBAN', 'rayban'], 'id': 651562, 'receipt_type': 'Printed'}","['Jun 27, 2024']","['OR-NVO24101734', 'OR-NVO24101734']","['rayban 4401d 601/71 sz57', '4401d']","['F02976 RAYBAN SUNGLASSES', 'rayban 4401d 601/71 sz57', 'RAYBAN', 'rayban']",Printed
