,id,date_of_receipt,receipt_number,remarks,units,brand,category,brand_model,status,img,file_exists,file_name,file_size_MB,processed_data,m_receipt_date,m_receipt_number,m_brand_model,m_brand,receipt_type
0,653570,7/10/24,6804,Approved,1,Ray-Ban,Optical,5419,1,Receipt/2024/3mpxy8vkfz.jpg,Yes,3mpxy8vkfz.jpg,6.209891,"{'m_receipt_date': ['10/07/2024 .', '10/07/2024.'], 'm_receipt_number': [], 'm_brand_model': ['Model: 5419', 'Size: 54/19.', '5419', '54/19.'], 'm_brand': ['Rayban', 'Rayban'], 'id': 653570, 'receipt_type': 'Handwritten'}","['10/07/2024 .', '10/07/2024.']",[],"['Model: 5419', 'Size: 54/19.', '5419', '54/19.']","['Rayban', 'Rayban']",Handwritten
1,653568,7/3/24,VS057331,Approved,1,Coach,Sunglasses,HC8331,1,Receipt/2024/jpeg_20240710_134918.jpg,Yes,jpeg_20240710_134918.jpg,0.422174,"{'m_receipt_date': ['3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024'], 'm_receipt_number': ['Cash Sale No.VS 057331', 'No.VS 057331', 'Cash Sale No.VS 057331'], 'm_brand_model': ['Frame: OHC 8331 5662G9', '8331'], 'm_brand': ['Frame: OHC 8331 5662G9'], 'id': 653568, 'receipt_type': 'Handwritten'}","['3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024']","['Cash Sale No.VS 057331', 'No.VS 057331', 'Cash Sale No.VS 057331']","['Frame: OHC 8331 5662G9', '8331']",['Frame: OHC 8331 5662G9'],Handwritten
2,653567,7/10/24,29661,Approved,1,Ray-Ban,Sunglasses,9506,1,Receipt/2024/jpeg_20240710_133335.jpg,Yes,jpeg_20240710_133335.jpg,0.342647,"{'m_receipt_date': [], 'm_receipt_number': ['No. 29661', '29661'], 'm_brand_model': ['/ Contact Lens Ray Ban 9506 size 52 . of', '9506'], 'm_brand': ['/ Contact Lens Ray Ban 9506 size 52 . of'], 'id': 653567, 'receipt_type': 'Handwritten'}",[],"['No. 29661', '29661']","['/ Contact Lens Ray Ban 9506 size 52 . of', '9506']",['/ Contact Lens Ray Ban 9506 size 52 . of'],Handwritten
3,653566,7/8/24,4573,Approved,1,Ray-Ban,Optical,7094d 2012,1,Receipt/2024/ckurnrsjx1.jpg,Yes,ckurnrsjx1.jpg,9.025862,"{'m_receipt_date': ['Monday, 8 July 2024, 12:43:18 pm'], 'm_receipt_number': ['OR-POC24004573', 'OR-POC24004573'], 'm_brand_model': ['F0001725, RAY BAN RB7094D 201255'], 'm_brand': ['F0001725, RAY BAN RB7094D 201255'], 'id': 653566, 'receipt_type': 'Printed'}","['Monday, 8 July 2024, 12:43:18 pm']","['OR-POC24004573', 'OR-POC24004573']","['F0001725, RAY BAN RB7094D 201255']","['F0001725, RAY BAN RB7094D 201255']",Printed
4,653565,7/9/24,4622,Approved,1,Ray-Ban,Optical,7140 8125,1,Receipt/2024/gqmtv8w4l1.jpg,Yes,gqmtv8w4l1.jpg,8.727398,"{'m_receipt_date': ['Tuesday, 9 July 2024, 6:28:57 pm'], 'm_receipt_number': ['OR-POC24004622', 'OR-POC24004622'], 'm_brand_model': ['F0008967, RAY BAN RB7140 8125 49'], 'm_brand': ['F0008967, RAY BAN RB7140 8125 49'], 'id': 653565, 'receipt_type': 'Printed'}","['Tuesday, 9 July 2024, 6:28:57 pm']","['OR-POC24004622', 'OR-POC24004622']","['F0008967, RAY BAN RB7140 8125 49']","['F0008967, RAY BAN RB7140 8125 49']",Printed
5,653545,6/11/24,185956,Approved,1,Ray-Ban,Optical,rb6489,1,Receipt/2024/xaj3ugrawg.jpg,Yes,xaj3ugrawg.jpg,5.394993,"{'m_receipt_date': ['11/6/24', '11/6/24', '11/6/24', '11/6/24'], 'm_receipt_number': ['Prescription No. 185956', 'Prescription No. 185956', '185956', '185956'], 'm_brand_model': ['RB 6489 2501', '6489'], 'm_brand': ['RB 6489 2501'], 'id': 653545, 'receipt_type': 'Handwritten'}","['11/6/24', '11/6/24', '11/6/24', '11/6/24']","['Prescription No. 185956', 'Prescription No. 185956', '185956', '185956']","['RB 6489 2501', '6489']",['RB 6489 2501'],Handwritten
6,653544,6/11/24,185955,Approved,1,Oakley,Optical,ox8141,1,Receipt/2024/2upvxyzd4c.jpg,Yes,2upvxyzd4c.jpg,4.887519,"{'m_receipt_date': ['11/6/24', '11/6/24'], 'm_receipt_number': ['Prescription No. 185955', 'Prescription No. 185955', '185955', '185955'], 'm_brand_model': ['Dakley 0x8141-0656', '0x8141-0656'], 'm_brand': ['Dakley 0x8141-0656'], 'id': 653544, 'receipt_type': 'Handwritten'}","['11/6/24', '11/6/24']","['Prescription No. 185955', 'Prescription No. 185955', '185955', '185955']","['Dakley 0x8141-0656', '0x8141-0656']",['Dakley 0x8141-0656'],Handwritten
7,653543,6/10/24,185953,Approved,1,Ray-Ban,Optical,rb8772,1,Receipt/2024/x2cr4u2o27.jpg,Yes,x2cr4u2o27.jpg,4.433768,"{'m_receipt_date': ['10/6/24', '10/6/24', '10/6/24', '10/6/24'], 'm_receipt_number': ['Prescription No. 185953', 'Prescription No. 185953', '185953', '185953'], 'm_brand_model': ['RB 87720 1240', '87720'], 'm_brand': ['RB 87720 1240'], 'id': 653543, 'receipt_type': 'Handwritten'}","['10/6/24', '10/6/24', '10/6/24', '10/6/24']","['Prescription No. 185953', 'Prescription No. 185953', '185953', '185953']","['RB 87720 1240', '87720']",['RB 87720 1240'],Handwritten
8,653541,6/8/24,185950,Approved,1,Ray-Ban,Optical,rb6474,1,Receipt/2024/u0z230rkoc.jpg,Yes,u0z230rkoc.jpg,4.259372,"{'m_receipt_date': ['8/6/24', '8/6/24', '8/6/24', '8/6/24'], 'm_receipt_number': ['Prescription No. 185950', 'Prescription No. 185950', '185950', '185950'], 'm_brand_model': ['RB 64740 2983', '64740'], 'm_brand': ['RB 64740 2983'], 'id': 653541, 'receipt_type': 'Handwritten'}","['8/6/24', '8/6/24', '8/6/24', '8/6/24']","['Prescription No. 185950', 'Prescription No. 185950', '185950', '185950']","['RB 64740 2983', '64740']",['RB 64740 2983'],Handwritten
9,653540,6/8/24,185949,Approved,1,Ray-Ban,Optical,rb6472,1,Receipt/2024/49e8tglcul.jpg,Yes,49e8tglcul.jpg,4.765604,"{'m_receipt_date': ['8/6/24', '8/6/24', '8/6/24', '8/6/24'], 'm_receipt_number': ['Prescription No. 185949', 'Prescription No. 185949', '185949', '185949'], 'm_brand_model': ['RB 6472F 2502', '6472F'], 'm_brand': ['RB 6472F 2502'], 'id': 653540, 'receipt_type': 'Handwritten'}","['8/6/24', '8/6/24', '8/6/24', '8/6/24']","['Prescription No. 185949', 'Prescription No. 185949', '185949', '185949']","['RB 6472F 2502', '6472F']",['RB 6472F 2502'],Handwritten
10,653539,6/7/24,185948,Approved,1,Ray-Ban,Optical,rb4324,1,Receipt/2024/bngtbm1zlr.jpg,Yes,bngtbm1zlr.jpg,4.240755,"{'m_receipt_date': ['7/6/24', '7/6/24'], 'm_receipt_number': ['Prescription No. 185948', 'Prescription No. 185948', '185948', '185948'], 'm_brand_model': ['RR 4324VF 5943', '4324VF'], 'm_brand': ['RR 4324VF 5943'], 'id': 653539, 'receipt_type': 'Handwritten'}","['7/6/24', '7/6/24']","['Prescription No. 185948', 'Prescription No. 185948', '185948', '185948']","['RR 4324VF 5943', '4324VF']",['RR 4324VF 5943'],Handwritten
11,653538,6/6/24,185944,Approved,1,Emporio Armani,Optical,ea1135,1,Receipt/2024/ioal1lo6ik.jpg,Yes,ioal1lo6ik.jpg,4.337342,"{'m_receipt_date': ['6/6/24', '6/6/24', '6/6/24'], 'm_receipt_number': ['Prescription No. 185944', 'Prescription No. 185944', '185944', '185944'], 'm_brand_model': [], 'm_brand': [], 'id': 653538, 'receipt_type': 'Handwritten'}","['6/6/24', '6/6/24', '6/6/24']","['Prescription No. 185944', 'Prescription No. 185944', '185944', '185944']",[],[],Handwritten
12,653537,6/3/24,185946,Approved,1,Ray-Ban,Optical,rb7094,1,Receipt/2024/pzci2zsjzl.jpg,Yes,pzci2zsjzl.jpg,4.424574,"{'m_receipt_date': ['3/6', '3/6/24', '3/6', '3/6/24', '3/6/24', '3/6/24', '3/6/24'], 'm_receipt_number': [], 'm_brand_model': ['RB 70940 2012', '70940'], 'm_brand': ['RB 70940 2012'], 'id': 653537, 'receipt_type': 'Handwritten'}","['3/6', '3/6/24', '3/6', '3/6/24', '3/6/24', '3/6/24', '3/6/24']",[],"['RB 70940 2012', '70940']",['RB 70940 2012'],Handwritten
13,653534,6/1/24,185935,Approved,1,Ray-Ban,Sunglasses,rb3726,1,Receipt/2024/zam8ohtl8l.jpg,Yes,zam8ohtl8l.jpg,4.364673,"{'m_receipt_date': ['1/6/24', '1/6/24', '1/6/24', '1/6/24'], 'm_receipt_number': ['Prescription No. 185935', 'Prescription No. 185935', '185935', '185935'], 'm_brand_model': ['RB 3726M F088/5J', '3726M'], 'm_brand': ['RB 3726M F088/5J'], 'id': 653534, 'receipt_type': 'Handwritten'}","['1/6/24', '1/6/24', '1/6/24', '1/6/24']","['Prescription No. 185935', 'Prescription No. 185935', '185935', '185935']","['RB 3726M F088/5J', '3726M']",['RB 3726M F088/5J'],Handwritten
14,653533,6/1/24,185933,Approved,1,Bvlgari,Optical,1116td,1,Receipt/2024/m5u1pjld7x.jpg,Yes,m5u1pjld7x.jpg,4.316275,"{'m_receipt_date': ['1/6/24', '1/6/24'], 'm_receipt_number': ['Prescription No. 185933', '185933'], 'm_brand_model': [], 'm_brand': [], 'id': 653533, 'receipt_type': 'Handwritten'}","['1/6/24', '1/6/24']","['Prescription No. 185933', '185933']",[],[],Handwritten
15,653531,6/1/24,185932,Approved,1,Bvlgari,Optical,2240,1,Receipt/2024/1comtj06wy.jpg,Yes,1comtj06wy.jpg,4.21606,"{'m_receipt_date': ['1/6/24', '1/6/24', '1/6/24'], 'm_receipt_number': ['Prescription No. 185932', 'Prescription No. 185932', '185932', '185932'], 'm_brand_model': ['Bulgari 2240 2023', '2240'], 'm_brand': [], 'id': 653531, 'receipt_type': 'Handwritten'}","['1/6/24', '1/6/24', '1/6/24']","['Prescription No. 185932', 'Prescription No. 185932', '185932', '185932']","['Bulgari 2240 2023', '2240']",[],Handwritten
16,653530,5/25/24,185925,Approved,1,Ray-Ban,Optical,rb4379,1,Receipt/2024/jivoo9xnfk_lpbt1lD.jpg,Yes,jivoo9xnfk_lpbt1lD.jpg,4.641702,"{'m_receipt_date': [], 'm_receipt_number': ['Prescription No. 185925', '185925'], 'm_brand_model': ['RB 4379VD 2000 053', '4379VD'], 'm_brand': ['RB 4379VD 2000 053'], 'id': 653530, 'receipt_type': 'Handwritten'}",[],"['Prescription No. 185925', '185925']","['RB 4379VD 2000 053', '4379VD']",['RB 4379VD 2000 053'],Handwritten
17,653529,5/25/24,185925,Approved,1,Ray-Ban,Optical,rb4379,1,Receipt/2024/jivoo9xnfk.jpg,Yes,jivoo9xnfk.jpg,4.641702,"{'m_receipt_date': [], 'm_receipt_number': ['Prescription No. 185925', '185925'], 'm_brand_model': ['RB 4379VD 2000 053', '4379VD'], 'm_brand': ['RB 4379VD 2000 053'], 'id': 653529, 'receipt_type': 'Handwritten'}",[],"['Prescription No. 185925', '185925']","['RB 4379VD 2000 053', '4379VD']",['RB 4379VD 2000 053'],Handwritten
18,653528,5/21/24,185915,Approved,1,Ray-Ban,Optical,rb1971,1,Receipt/2024/vtvst5n1ge.jpg,Yes,vtvst5n1ge.jpg,4.195296,"{'m_receipt_date': ['21/5/24', '21/5/24'], 'm_receipt_number': ['Prescription No. 185915', 'Prescription No. 185915', '185915', '185915'], 'm_brand_model': [': RB 1971V 3105', '1971V'], 'm_brand': [': RB 1971V 3105'], 'id': 653528, 'receipt_type': 'Handwritten'}","['21/5/24', '21/5/24']","['Prescription No. 185915', 'Prescription No. 185915', '185915', '185915']","[': RB 1971V 3105', '1971V']",[': RB 1971V 3105'],Handwritten
19,653527,5/18/24,185909,Approved,1,Ray-Ban,Optical,rb3582v,1,Receipt/2024/dvsdcc9g85.jpg,Yes,dvsdcc9g85.jpg,4.994834,"{'m_receipt_date': ['18t5', '18t5', '18/5/24', '18/5/24', '18/5/24', '18/5/24'], 'm_receipt_number': ['Prescription No. 185909', 'Prescription No. 185909', '185909', '185909'], 'm_brand_model': ['RB 3582V 2760 $49', '3582V'], 'm_brand': ['RB 3582V 2760 $49'], 'id': 653527, 'receipt_type': 'Handwritten'}","['18t5', '18t5', '18/5/24', '18/5/24', '18/5/24', '18/5/24']","['Prescription No. 185909', 'Prescription No. 185909', '185909', '185909']","['RB 3582V 2760 $49', '3582V']",['RB 3582V 2760 $49'],Handwritten
20,653525,5/16/24,185905,Approved,1,Ray-Ban,Sunglasses,rb3727,1,Receipt/2024/3berkevpqb.jpg,Yes,3berkevpqb.jpg,4.620987,"{'m_receipt_date': ['16/5/24', '16/5/24'], 'm_receipt_number': ['Prescription No. 185905', 'Prescription No. 185905', '185905', '185905'], 'm_brand_model': ['RB 3727D 002/87', '3727D'], 'm_brand': ['RB 3727D 002/87'], 'id': 653525, 'receipt_type': 'Handwritten'}","['16/5/24', '16/5/24']","['Prescription No. 185905', 'Prescription No. 185905', '185905', '185905']","['RB 3727D 002/87', '3727D']",['RB 3727D 002/87'],Handwritten
21,653524,5/15/24,185901,Approved,1,Giorgio Armani,Optical,1090td,1,Receipt/2024/niba0rj91y_CogJiQ3.jpg,Yes,niba0rj91y_CogJiQ3.jpg,5.177947,"{'m_receipt_date': [], 'm_receipt_number': ['Prescription No. 185901', 'Prescription No. 185901', '185901', '185901'], 'm_brand_model': ['Bulgari 1090TD 128', '1090TD'], 'm_brand': [], 'id': 653524, 'receipt_type': 'Handwritten'}",[],"['Prescription No. 185901', 'Prescription No. 185901', '185901', '185901']","['Bulgari 1090TD 128', '1090TD']",[],Handwritten
22,653523,5/15/24,185901,Approved,1,Bvlgari,Sunglasses,1090td,1,Receipt/2024/niba0rj91y.jpg,Yes,niba0rj91y.jpg,5.177947,"{'m_receipt_date': [], 'm_receipt_number': ['Prescription No. 185901', 'Prescription No. 185901', '185901', '185901'], 'm_brand_model': ['Bulgari 1090TD 128', '1090TD'], 'm_brand': [], 'id': 653523, 'receipt_type': 'Handwritten'}",[],"['Prescription No. 185901', 'Prescription No. 185901', '185901', '185901']","['Bulgari 1090TD 128', '1090TD']",[],Handwritten
23,653522,7/10/24,poc24005199,Approved,1,Ray-Ban,Sunglasses,rb3663,1,Receipt/2024/cnssuuajpj.jpg,Yes,cnssuuajpj.jpg,5.862984,"{'m_receipt_date': ['Wednesday, 10 July 2024, 11:27:26 am', 'Jul 10,2024'], 'm_receipt_number': [': POC24-005199', 'POC24-005199'], 'm_brand_model': ['Sunglasses RAY BAN RB3663 00471 60 X 1', 'RB3663'], 'm_brand': ['Sunglasses RAY BAN RB3663 00471 60 X 1'], 'id': 653522, 'receipt_type': 'Printed'}","['Wednesday, 10 July 2024, 11:27:26 am', 'Jul 10,2024']","[': POC24-005199', 'POC24-005199']","['Sunglasses RAY BAN RB3663 00471 60 X 1', 'RB3663']",['Sunglasses RAY BAN RB3663 00471 60 X 1'],Printed
24,653459,5/19/24,POK24-001653,Approved,1,Ray-Ban,Optical,RB5315D,1,Receipt/2024/oxynrznmzq.jpg,Yes,oxynrznmzq.jpg,13.954807,"{'m_receipt_date': ['2024-05-19', '2024-05-19', '2024-05-19'], 'm_receipt_number': ['POK24-001653', 'POK24-001653'], 'm_brand_model': ['RAYBAN RB5315D', 'RAYBAN RB5315D'], 'm_brand': ['RAYBAN RB5315D', 'RAYBAN RB5315D'], 'id': 653459, 'receipt_type': 'Printed'}","['2024-05-19', '2024-05-19', '2024-05-19']","['POK24-001653', 'POK24-001653']","['RAYBAN RB5315D', 'RAYBAN RB5315D']","['RAYBAN RB5315D', 'RAYBAN RB5315D']",Printed
25,653458,5/8/24,POK24-001533,Approved,1,Ray-Ban,Optical,RB7168D,1,Receipt/2024/c68ga9uqlz.jpg,Yes,c68ga9uqlz.jpg,14.092246,"{'m_receipt_date': ['2024-05-08', '2024-05-08', '2024-05-08'], 'm_receipt_number': ['POK24-001533', 'POK24-001533'], 'm_brand_model': ['RAYBAN RB7168D 2000', 'RB7168D 2000'], 'm_brand': ['RAYBAN RB7168D 2000', 'RAYBAN'], 'id': 653458, 'receipt_type': 'Printed'}","['2024-05-08', '2024-05-08', '2024-05-08']","['POK24-001533', 'POK24-001533']","['RAYBAN RB7168D 2000', 'RB7168D 2000']","['RAYBAN RB7168D 2000', 'RAYBAN']",Printed
26,653453,5/29/24,POK24-001760,Approved,1,Ray-Ban,Sunglasses,RB3769D,1,Receipt/2024/dxtrp7kwdo.jpg,Yes,dxtrp7kwdo.jpg,13.347681,"{'m_receipt_date': ['2024-05-29', '2024-05-29', '2024-05-29'], 'm_receipt_number': ['POK24-001760', 'POK24-001760'], 'm_brand_model': ['RAYBAN RB3769D', 'RB3769D'], 'm_brand': ['RAYBAN RB3769D', 'RAYBAN'], 'id': 653453, 'receipt_type': 'Printed'}","['2024-05-29', '2024-05-29', '2024-05-29']","['POK24-001760', 'POK24-001760']","['RAYBAN RB3769D', 'RB3769D']","['RAYBAN RB3769D', 'RAYBAN']",Printed
27,653451,5/22/24,POK24-001693,Approved,1,Ray-Ban,Optical,RB5416D,1,Receipt/2024/lvbaqtxoxt.jpg,Yes,lvbaqtxoxt.jpg,11.883622,"{'m_receipt_date': ['2024-05-22', '2024-05-22', '2024-05-22'], 'm_receipt_number': ['POK24-001693', 'POK24-001693'], 'm_brand_model': ['RAYBAN RB5416D 2000', 'RB5416D'], 'm_brand': ['RAYBAN RB5416D 2000', 'RAYBAN'], 'id': 653451, 'receipt_type': 'Printed'}","['2024-05-22', '2024-05-22', '2024-05-22']","['POK24-001693', 'POK24-001693']","['RAYBAN RB5416D 2000', 'RB5416D']","['RAYBAN RB5416D 2000', 'RAYBAN']",Printed
28,653448,5/25/24,POK24-001405,Approved,1,Ray-Ban,Sunglasses,RB4334D,1,Receipt/2024/r5nk9nfbwa.jpg,Yes,r5nk9nfbwa.jpg,13.14904,"{'m_receipt_date': ['2024-05-25', '2024-05-25', '2024-05-25'], 'm_receipt_number': ['OR-POK24001405', 'OR-POK24001405'], 'm_brand_model': ['RAY BAN RB4334D', 'RB4334D'], 'm_brand': ['RAY BAN RB4334D'], 'id': 653448, 'receipt_type': 'Printed'}","['2024-05-25', '2024-05-25', '2024-05-25']","['OR-POK24001405', 'OR-POK24001405']","['RAY BAN RB4334D', 'RB4334D']",['RAY BAN RB4334D'],Printed
29,653447,5/22/24,POK24-001685,Approved,1,Ray-Ban,Optical,RB5397F,1,Receipt/2024/idkuyj33pm.jpg,Yes,idkuyj33pm.jpg,13.85209,"{'m_receipt_date': ['2024-05-22', '2024-05-22', '2024-05-22'], 'm_receipt_number': ['POK24-001685', 'POK24-001685'], 'm_brand_model': ['RAYBAN RB5397F', 'RB5397F'], 'm_brand': ['RAYBAN RB5397F', 'RAYBAN'], 'id': 653447, 'receipt_type': 'Printed'}","['2024-05-22', '2024-05-22', '2024-05-22']","['POK24-001685', 'POK24-001685']","['RAYBAN RB5397F', 'RB5397F']","['RAYBAN RB5397F', 'RAYBAN']",Printed
30,653446,5/11/24,POK24-001563,Approved,1,Ray-Ban,Sunglasses,RB4378F,1,Receipt/2024/7vc3p4kmzc.jpg,Yes,7vc3p4kmzc.jpg,13.642703,"{'m_receipt_date': ['2024-05-11', '2024-05-11', '2024-05-11'], 'm_receipt_number': ['POK24-001563', 'POK24-001563'], 'm_brand_model': ['RAY BAN RB4378F', 'RB4378F'], 'm_brand': ['RAY BAN RB4378F'], 'id': 653446, 'receipt_type': 'Printed'}","['2024-05-11', '2024-05-11', '2024-05-11']","['POK24-001563', 'POK24-001563']","['RAY BAN RB4378F', 'RB4378F']",['RAY BAN RB4378F'],Printed
31,653445,5/12/24,POK24-001584,Approved,1,Ray-Ban,Optical,RB6489D,1,Receipt/2024/shvpzgw3ft.jpg,Yes,shvpzgw3ft.jpg,12.458716,"{'m_receipt_date': ['2024-05-12', '2024-05-12', '2024-05-12'], 'm_receipt_number': ['POK24-001584', 'POK24-001584'], 'm_brand_model': ['RAYBAN RB6489D', 'RB6489D'], 'm_brand': ['RAYBAN RB6489D', 'RAYBAN'], 'id': 653445, 'receipt_type': 'Printed'}","['2024-05-12', '2024-05-12', '2024-05-12']","['POK24-001584', 'POK24-001584']","['RAYBAN RB6489D', 'RB6489D']","['RAYBAN RB6489D', 'RAYBAN']",Printed
32,653444,5/9/24,POK24-001549,Approved,1,Ray-Ban,Optical,RB5419D,1,Receipt/2024/eyltsswnzw.jpg,Yes,eyltsswnzw.jpg,12.698884,"{'m_receipt_date': ['2024-05-09', '2024-05-09', '19:46', '2024-05-09'], 'm_receipt_number': ['POK24-001549', 'POK24-001549'], 'm_brand_model': ['RAY BAN RB5419D', 'RB5419D'], 'm_brand': ['RAY BAN RB5419D'], 'id': 653444, 'receipt_type': 'Printed'}","['2024-05-09', '2024-05-09', '19:46', '2024-05-09']","['POK24-001549', 'POK24-001549']","['RAY BAN RB5419D', 'RB5419D']",['RAY BAN RB5419D'],Printed
33,653443,5/3/24,POK24-001472,Approved,1,Ray-Ban,Sunglasses,RB3548N,1,Receipt/2024/sjbvw4y1ie.jpg,Yes,sjbvw4y1ie.jpg,13.854889,"{'m_receipt_date': ['2024-05-03', '2024-05-03', '2024-05-03'], 'm_receipt_number': ['POK24-001472', 'POK24-001472'], 'm_brand_model': ['RAY BAN RB3548-N', 'RB3548-N'], 'm_brand': ['RAY BAN RB3548-N'], 'id': 653443, 'receipt_type': 'Printed'}","['2024-05-03', '2024-05-03', '2024-05-03']","['POK24-001472', 'POK24-001472']","['RAY BAN RB3548-N', 'RB3548-N']",['RAY BAN RB3548-N'],Printed
34,653437,5/13/24,POK24-001597,Approved,1,Ray-Ban,Optical,RB5419D,1,Receipt/2024/1u8ljni5jr.jpg,Yes,1u8ljni5jr.jpg,12.177542,"{'m_receipt_date': ['2024-05-13', '2024-05-13', '2024-05-13'], 'm_receipt_number': ['POK24-001597', 'POK24-001597'], 'm_brand_model': ['RAY BAN RB5419D', 'RB5419D'], 'm_brand': ['RAY BAN RB5419D'], 'id': 653437, 'receipt_type': 'Printed'}","['2024-05-13', '2024-05-13', '2024-05-13']","['POK24-001597', 'POK24-001597']","['RAY BAN RB5419D', 'RB5419D']",['RAY BAN RB5419D'],Printed
35,653432,5/2/24,POK24-001458,Approved,1,Ray-Ban,Optical,RB5397F,1,Receipt/2024/edya8y8zg6.jpg,Yes,edya8y8zg6.jpg,14.300962,"{'m_receipt_date': ['2024-05-02', '2024-05-02', '2024-05-02'], 'm_receipt_number': ['POK24-001458', 'POK24-001458'], 'm_brand_model': ['RAY BAN RB5397F 8254', 'RB5397F'], 'm_brand': ['RAY BAN RB5397F 8254'], 'id': 653432, 'receipt_type': 'Printed'}","['2024-05-02', '2024-05-02', '2024-05-02']","['POK24-001458', 'POK24-001458']","['RAY BAN RB5397F 8254', 'RB5397F']",['RAY BAN RB5397F 8254'],Printed
36,653430,6/2/24,POK24-001799,Approved,1,Ray-Ban,Optical,RB6281D,1,Receipt/2024/atf9ll5hsb.jpg,Yes,atf9ll5hsb.jpg,13.291515,"{'m_receipt_date': ['2024-06-02', '2024-06-02', '2024-06-02'], 'm_receipt_number': ['POK24-001799', 'POK24-001799'], 'm_brand_model': ['RAY BAN RB6281D', 'RB6281D'], 'm_brand': ['RAY BAN RB6281D'], 'id': 653430, 'receipt_type': 'Printed'}","['2024-06-02', '2024-06-02', '2024-06-02']","['POK24-001799', 'POK24-001799']","['RAY BAN RB6281D', 'RB6281D']",['RAY BAN RB6281D'],Printed
37,653420,6/1/24,10878,Approved,1,Michael Kors,Sunglasses,2150 3005,1,Receipt/2024/nzkndhd9rt.jpg,Yes,nzkndhd9rt.jpg,6.547713,"{'m_receipt_date': ['2024-06-01', '2024-06-01', '2024-06-01'], 'm_receipt_number': ['EC010878', 'EC010878'], 'm_brand_model': ['2150U/S/Michael Kors/C3005M556'], 'm_brand': ['2150U/S/Michael Kors/C3005M556'], 'id': 653420, 'receipt_type': 'Printed'}","['2024-06-01', '2024-06-01', '2024-06-01']","['EC010878', 'EC010878']",['2150U/S/Michael Kors/C3005M556'],['2150U/S/Michael Kors/C3005M556'],Printed
38,653417,5/25/24,15510,Approved,1,Michael Kors,Optical,4054 3005,1,Receipt/2024/qb5ybwkvzk.jpg,Yes,qb5ybwkvzk.jpg,6.889525,"{'m_receipt_date': ['2024-05-25', '2024-05-25', '2024-05-25'], 'm_receipt_number': [], 'm_brand_model': ['FR012200003 4054/P/Michael Kors/C300552'], 'm_brand': ['FR012200003 4054/P/Michael Kors/C300552'], 'id': 653417, 'receipt_type': 'Printed'}","['2024-05-25', '2024-05-25', '2024-05-25']",[],['FR012200003 4054/P/Michael Kors/C300552'],['FR012200003 4054/P/Michael Kors/C300552'],Printed
39,653416,5/26/24,10265,Approved,1,Michael Kors,Optical,4093 3015,1,Receipt/2024/1bm0kjgshh.jpg,Yes,1bm0kjgshh.jpg,6.160865,"{'m_receipt_date': ['2024-05-26', '2024-05-26', '2024-05-26'], 'm_receipt_number': ['EC010265', 'EC010265'], 'm_brand_model': ['FR062200028 4093F/P/Michael Kors/C301553'], 'm_brand': ['FR062200028 4093F/P/Michael Kors/C301553'], 'id': 653416, 'receipt_type': 'Printed'}","['2024-05-26', '2024-05-26', '2024-05-26']","['EC010265', 'EC010265']",['FR062200028 4093F/P/Michael Kors/C301553'],['FR062200028 4093F/P/Michael Kors/C301553'],Printed
40,653414,7/9/24,1009,Approved,1,Coach,Sunglasses,7157,1,Receipt/2024/jpeg_20240709_170449.jpg,Yes,jpeg_20240709_170449.jpg,0.213493,"{'m_receipt_date': ['2024-07-09', '2024-07-09'], 'm_receipt_number': ['Sales No. : KAN24-001009', 'KAN24-001009'], 'm_brand_model': ['0002 Sunglasses COACH HC7157D COL:556174(TRANS L.BRN) SG X 1', 'HC7157D'], 'm_brand': ['0002 Sunglasses COACH HC7157D COL:556174(TRANS L.BRN) SG X 1', 'COACH'], 'id': 653414, 'receipt_type': 'Printed'}","['2024-07-09', '2024-07-09']","['Sales No. : KAN24-001009', 'KAN24-001009']","['0002 Sunglasses COACH HC7157D COL:556174(TRANS L.BRN) SG X 1', 'HC7157D']","['0002 Sunglasses COACH HC7157D COL:556174(TRANS L.BRN) SG X 1', 'COACH']",Printed
41,653412,5/20/24,3599,Approved,1,Michael Kors,Optical,3073 1014,1,Receipt/2024/6npl4qxgwi.jpg,Yes,6npl4qxgwi.jpg,6.89683,"{'m_receipt_date': ['2024-05-20', '2024-05-20', '2024-05-20'], 'm_receipt_number': ['EC003599', 'EC003599'], 'm_brand_model': ['3073D/M/Michael Kors/C101455'], 'm_brand': ['3073D/M/Michael Kors/C101455'], 'id': 653412, 'receipt_type': 'Printed'}","['2024-05-20', '2024-05-20', '2024-05-20']","['EC003599', 'EC003599']",['3073D/M/Michael Kors/C101455'],['3073D/M/Michael Kors/C101455'],Printed
